1,1,1.000
2,2,1.000
3,3,1.000
4,3,0.750
5,4,0.800
6,5,0.833
7,6,0.857
8,7,0.875
9,8,0.889
10,9,0.900
11,10,0.909
12,10,0.833
13,10,0.769
14,11,0.786
15,11,0.733
16,11,0.688
17,12,0.706
18,13,0.722
19,14,0.737
20,15,0.750
21,16,0.762
22,17,0.773
23,17,0.739
24,17,0.708
25,18,0.720
26,19,0.731
27,20,0.741
28,20,0.714
29,21,0.724
30,22,0.733
31,22,0.710
32,23,0.719
33,23,0.697
34,23,0.676
35,23,0.657
36,24,0.667
37,25,0.676
38,26,0.684
39,27,0.692
40,27,0.675
41,28,0.683
42,29,0.690
43,29,0.674
44,30,0.682
45,31,0.689
46,32,0.696
47,32,0.681
48,32,0.667
49,33,0.663
50,34,0.670
51,34,0.657
52,35,0.663
53,35,0.651
54,36,0.657
55,36,0.645
56,36,0.634
57,37,0.640
58,38,0.647
59,39,0.653
60,40,0.658
61,40,0.648
62,40,0.637
63,40,0.627
64,41,0.633
65,41,0.623
66,41,0.614
67,41,0.604
68,42,0.610
69,43,0.616
70,44,0.621
71,44,0.613
72,44,0.604
73,44,0.596
74,44,0.588
75,44,0.580
76,45,0.586
77,46,0.591
78,47,0.596
79,47,0.589
80,48,0.594
81,49,0.599
82,49,0.591
83,50,0.596
84,50,0.589
85,51,0.594
86,52,0.599
87,53,0.603
88,53,0.597
89,53,0.590
90,54,0.594
91,55,0.599
92,55,0.592
93,55,0.586
94,56,0.590
95,57,0.595
96,58,0.599
97,58,0.593
98,59,0.597
99,59,0.591
100,59,0.585
101,60,0.589
102,61,0.593
103,61,0.587
104,61,0.582
105,62,0.586
106,62,0.580
107,62,0.575
108,62,0.569
109,62,0.564
110,63,0.568
111,64,0.572
112,65,0.576
113,66,0.580
114,67,0.583
115,68,0.587
116,69,0.591
117,69,0.585
118,69,0.581
119,70,0.584
120,71,0.588
121,71,0.583
122,72,0.586
123,72,0.581
124,73,0.585
125,74,0.588
126,75,0.591
127,76,0.594
128,77,0.598
129,78,0.601
130,79,0.604
131,80,0.607
132,81,0.610
133,81,0.605
134,82,0.608
135,82,0.604
136,83,0.607
137,83,0.602
138,84,0.605
139,85,0.608
140,86,0.611
141,87,0.613
142,88,0.616
143,88,0.612
144,88,0.608
145,89,0.610
146,89,0.610
147,90,0.612
148,91,0.615
149,92,0.617
150,93,0.620
151,94,0.623
152,94,0.618
153,94,0.614
154,94,0.610
155,94,0.606
156,95,0.609
157,95,0.605
158,96,0.608
159,96,0.604
160,97,0.606
161,97,0.602
162,98,0.605
163,99,0.607
164,99,0.604
165,100,0.606
166,101,0.608
167,102,0.611
168,102,0.607
169,102,0.604
170,102,0.600
171,102,0.596
172,103,0.599
173,104,0.601
174,104,0.598
175,104,0.594
176,104,0.591
177,104,0.588
178,105,0.590
179,106,0.592
180,107,0.594
181,107,0.591
182,108,0.593
183,109,0.596
184,109,0.592
185,109,0.589
186,110,0.591
187,110,0.588
188,110,0.585
189,111,0.587
190,111,0.584
191,112,0.586
192,113,0.589
193,114,0.591
194,114,0.588
195,115,0.590
196,116,0.592
197,117,0.594
198,118,0.596
199,119,0.598
200,120,0.600
201,120,0.597
202,121,0.599
203,121,0.596
204,122,0.598
205,123,0.600
206,123,0.597
207,123,0.594
208,123,0.591
209,124,0.593
210,125,0.593
211,126,0.595
212,127,0.597
213,128,0.599
214,129,0.600
215,130,0.602
216,130,0.600
217,131,0.601
218,132,0.603
219,132,0.603
220,133,0.605
221,134,0.606
222,135,0.608
223,136,0.610
224,136,0.607
225,137,0.609
226,138,0.611
227,139,0.612
228,140,0.614
229,141,0.616
230,142,0.617
231,142,0.615
232,142,0.612
233,143,0.614
234,144,0.615
235,144,0.613
236,144,0.610
237,144,0.608
238,145,0.609
239,146,0.611
240,147,0.610
241,148,0.612
242,149,0.614
243,149,0.611
244,150,0.613
245,150,0.610
246,151,0.612
247,152,0.613
248,153,0.615
249,154,0.616
250,154,0.614
251,154,0.612
252,154,0.609
253,155,0.611
254,155,0.608
255,156,0.610
256,157,0.611
257,157,0.609
258,158,0.610
259,158,0.608
260,158,0.606
261,159,0.607
262,160,0.609
263,160,0.606
264,160,0.604
265,160,0.602
266,160,0.600
267,161,0.601
268,162,0.603
269,162,0.600
270,163,0.602
